indicator,ticker,score,verdict,performance,consistency,drawdown,raw_score,capped_by,in_sample_sharpe_gross,out_sample_sharpe_gross,out_sample_sharpe_net,max_drawdown_net,pct_windows_positive,n_windows,num_trades,time_in_market,cost_paid
VWAP,AAPL,3.9,Did not survive,3.44,6.92,0.44,3.86,,0.5376424776940144,0.32088673047488664,0.18887382050568868,-0.4782039904575731,0.6923076923076923,13,115,1.0,0.18480000000000002
RSI,AAPL,3.9,Did not survive,3.25,4.62,5.4,3.91,,-0.5932581727903685,0.18643606980743604,0.14969068235031263,-0.22988965969439934,0.46153846153846156,13,38,0.4438247011952191,0.033600000000000005
EMA,AAPL,3.5,Did not survive,2.82,5.38,3.17,3.51,,0.41661031275962884,0.08893613144151827,0.06318233091900664,-0.3414828159255562,0.5384615384615384,13,22,1.0,0.036000000000000004
MACD,AAPL,3.3,Did not survive,2.87,6.15,0.0,3.26,,0.4173932246521657,0.1843366938344637,0.07389141578229023,-0.5166301075567545,0.6153846153846154,13,96,1.0,0.15439999999999998
